Video URL,Title,Captions Available,Caption Text
https://www.youtube.com/watch?v=DZ6gI2CJM4c,The Imitation Game,No,No captions available :()
https://www.youtube.com/watch?v=eIUFlfe9YzQ,Mohabbhath Mey,No,No captions available :()
https://www.youtube.com/watch?v=CIvK-4uEaS8,Despicable Me,No,No captions available :()
https://www.youtube.com/watch?v=CX-u2XsNXvE,Blood Diamond,No,No captions available :()
https://www.youtube.com/watch?v=5orJiK9GBSc,Mandela: Long Walk To Freedom,No,No captions available :()
https://www.youtube.com/watch?v=yYr8q0y5Jfg,Piku,No,No captions available :()
https://www.youtube.com/watch?v=5wuGTrtd8Wc,War Room,No,No captions available :()
https://www.youtube.com/watch?v=I9tti32VDyU,Tropic Thunder,No,No captions available :()
https://www.youtube.com/watch?v=oKJGhnYp2-8,The Bourne Ultimatum,No,No captions available :()
https://www.youtube.com/watch?v=3aMR3PA2_H8,Home,No,No captions available :()
https://www.youtube.com/watch?v=L62-of6m0K0,Despicable Me 2,No,No captions available :()
https://www.youtube.com/watch?v=r6f-uFwHPb8,Elysium,No,No captions available :()
https://www.youtube.com/watch?v=xuqmHVj98Dg,Aame Yevaru,No,No captions available :()
https://www.youtube.com/watch?v=2Qr4bjGRm54,The Matrix Revolutions,No,No captions available :()
https://www.youtube.com/watch?v=0LaWB3ZT5-8,Unstoppable,No,No captions available :()
https://www.youtube.com/watch?v=lGQ86FRK5Gk,American Sniper,No,No captions available :()
https://www.youtube.com/watch?v=-iVJFB2gZuE,Invictus,No,No captions available :()
https://www.youtube.com/watch?v=NLCYuL1CTUk,Mission: Impossible Ghost Protocol,No,No captions available :()
https://www.youtube.com/watch?v=Nq_li6xlD2o,Sully,No,No captions available :()
https://www.youtube.com/watch?v=yYr8q0y5Jfg,Piku,No,No captions available :()
https://www.youtube.com/watch?v=LaLcOcavqkg,Leap Year,No,No captions available :()
https://www.youtube.com/watch?v=0LaWB3ZT5-8,Unstoppable,No,No captions available :()
https://www.youtube.com/watch?v=AXc7lPzxD0M,The Thing,No,No captions available :()
https://www.youtube.com/watch?v=XhbJwZFgeVA,Spider-Man,No,No captions available :()
https://www.youtube.com/watch?v=yvx1VY4dIFs,Om Shanti Om,No,No captions available :()
https://www.youtube.com/watch?v=1aujZWkL8Xg,Storks,No,No captions available :()
https://www.youtube.com/watch?v=_ZwCVCaegWI,Goldeneye,No,No captions available :()
https://www.youtube.com/watch?v=sqv3miEcGZI,Pilla Rakshasi,No,No captions available :()
https://www.youtube.com/watch?v=fV8AknDk5S8,X-Men Origins: Wolverine,No,No captions available :()
https://www.youtube.com/watch?v=a9TQJHEdBgM,The Notebook,No,No captions available :()
https://www.youtube.com/watch?v=m3-aeYwe35I,Mere Baap Pehle Aap,No,No captions available :()
https://www.youtube.com/watch?v=MQ0YOiH_NGY,Jobs,No,No captions available :()
https://www.youtube.com/watch?v=7u2EYFqlMqc,The Lovely Bones,No,No captions available :()
https://www.youtube.com/watch?v=KXxgqm1_trE,Saadey CM Saab,No,No captions available :()
https://www.youtube.com/watch?v=jhfvXSz0mH8,The Patriot,No,No captions available :()
https://www.youtube.com/watch?v=XzWvCVQ3pUQ,Tomorrow Never Dies,No,No captions available :()
https://www.youtube.com/watch?v=6lZoAVyv5pM,Fury,No,No captions available :()
https://www.youtube.com/watch?v=mSfo1wwAPbw,The Vow (2012),No,No captions available :()
https://www.youtube.com/watch?v=35aLmO1Ixbs,Sherlock Holmes,No,No captions available :()
https://www.youtube.com/watch?v=-iVJFB2gZuE,Invictus,No,No captions available :()
https://www.youtube.com/watch?v=lGQ86FRK5Gk,American Sniper,No,No captions available :()
https://www.youtube.com/watch?v=oKJGhnYp2-8,The Bourne Ultimatum,No,No captions available :()
https://www.youtube.com/watch?v=93YVRWQcQh8,Captain America: The First Avenger,No,No captions available :()
https://www.youtube.com/watch?v=etnxdfMwthY,Jack Reacher,No,No captions available :()
https://www.youtube.com/watch?v=hGU5n9P4gM8,Budhia Singh: Born to Run,No,No captions available :()
https://www.youtube.com/watch?v=ITr_iM5OT2E,The Boss Baby,No,No captions available :()
https://www.youtube.com/watch?v=97HgKGojFbw,Mean Girls,No,No captions available :()
https://www.youtube.com/watch?v=-KVeFSEQ1iA,London Paris New York,No,No captions available :()
https://www.youtube.com/watch?v=1qrAUbNV-DQ,Double Di Trouble,No,No captions available :()
https://www.youtube.com/watch?v=89CY-YpPD-k,Spider-Man: Homecoming,No,No captions available :()
https://www.youtube.com/watch?v=iPcDWVxYW3w,The Martian,No,No captions available :()
https://www.youtube.com/watch?v=n0fRSnKZqGc,Spider-Man 2,No,No captions available :()
https://www.youtube.com/watch?v=_k8whpgmsss,Men In Black II,No,No captions available :()
